timestamp,actual,p10,p50,p90,reliability,temp_corr,p10_base,p90_base,stress_day
2025-05-12 00:00:00,5189.953333333334,4984.804362036749,5359.33167201786,5721.279613866541,HIGH,29.6,4984.80436203675,5721.279613866541,
2025-05-12 00:15:00,5143.2,4918.918849215442,5288.086263312244,5645.246612015095,HIGH,29.392500000000002,4918.918849215442,5645.246612015095,
2025-05-12 00:30:00,5099.5,4831.36755581862,5196.455480748558,5546.762225991635,HIGH,29.185,4831.36755581862,5546.762225991635,
2025-05-12 00:45:00,5038.93,4762.132594943868,5124.816758958887,5469.869874913914,HIGH,28.977499999999996,4762.132594943868,5469.869874913914,
2025-05-12 01:00:00,4951.82,4657.398398705191,5016.577067270665,5353.144425800673,HIGH,28.77,4657.398398705191,5353.144425800672,
2025-05-12 01:15:00,4858.28,4585.7470602615,4942.305557488044,5273.443132526218,HIGH,28.599166666666665,4585.7470602615,5273.443132526218,
2025-05-12 01:30:00,4789.106666666667,4518.771934706629,4872.551844789951,5198.676300167817,HIGH,28.42833333333333,4518.771934706629,5198.676300167816,
2025-05-12 01:45:00,4691.3533333333335,4450.365959161896,4801.057498782807,5122.022996113574,HIGH,28.2575,4450.365959161896,5122.022996113574,
2025-05-12 02:00:00,4626.133333333333,4380.824359058177,4728.12025246696,5043.801912641402,HIGH,28.086666666666666,4380.824359058177,5043.801912641402,
2025-05-12 02:15:00,4550.826666666667,4317.86391850973,4661.996972717671,4973.012005779868,HIGH,27.985833333333332,4317.86391850973,4973.012005779868,
2025-05-12 02:30:00,4482.82,4256.061193760577,4596.773375837432,4903.194293464397,HIGH,27.884999999999998,4256.061193760577,4903.194293464396,
2025-05-12 02:45:00,4422.2300000000005,4194.326633563411,4531.333028294484,4833.127466070702,HIGH,27.784166666666668,4194.326633563411,4833.127466070702,
2025-05-12 03:00:00,4339.44,4135.434994868286,4468.517195577818,4765.9002052952355,HIGH,27.683333333333334,4135.434994868287,4765.9002052952355,
2025-05-12 03:15:00,4286.97,4074.2572440998606,4403.076072719958,4695.790094201478,HIGH,27.5475,4074.257244099861,4695.790094201478,
2025-05-12 03:30:00,4243.533333333333,4013.6077352693965,4337.893911191731,4625.932807964042,HIGH,27.41166666666667,4013.6077352693965,4625.932807964042,
2025-05-12 03:45:00,4197.286666666667,3971.3648062700354,4291.279429647514,4576.261395794727,HIGH,27.27583333333333,3971.3648062700354,4576.261395794727,
2025-05-12 04:00:00,4143.483333333334,3921.328502616998,4236.412976397497,4517.564246035617,HIGH,27.14,3921.328502616998,4517.564246035617,
2025-05-12 04:15:00,4098.046666666666,3886.1242595916224,4197.184685838031,4475.87844646981,HIGH,27.355833333333333,3886.124259591623,4475.87844646981,
2025-05-12 04:30:00,4072.25,3854.008279110951,4160.859408630675,4437.305210244402,HIGH,27.571666666666665,3854.0082791109517,4437.305210244402,
2025-05-12 04:45:00,4040.8133333333335,3834.3610652205125,4137.049963329021,4412.308462619755,HIGH,27.787499999999998,3834.3610652205125,4412.308462619755,
2025-05-12 05:00:00,3978.653333333333,3829.628029254993,4128.26974559306,4403.621083394001,HIGH,28.003333333333334,3829.628029254993,4403.621083394001,
2025-05-12 05:15:00,3951.6133333333332,3810.4415953742127,4110.211391450805,4384.972862060689,HIGH,28.231666666666666,3810.4415953742127,4384.972862060688,
2025-05-12 05:30:00,3907.0833333333335,3784.8669004798257,4085.3941306514357,4358.899062510771,HIGH,28.46,3784.8669004798257,4358.899062510771,
2025-05-12 05:45:00,3860.133333333333,3756.28127981216,4057.288459141247,4329.175635018436,HIGH,28.688333333333333,3756.2812798121604,4329.175635018435,
2025-05-12 06:00:00,3861.35,3745.871394912671,4047.5998326080885,4319.436699636079,HIGH,28.916666666666668,3745.871394912671,4319.436699636079,
2025-05-12 06:15:00,3883.5033333333336,3790.370947420397,4094.6711091005373,4371.460378945397,HIGH,29.424166666666665,3790.370947420397,4371.460378945397,
2025-05-12 06:30:00,3883.78,3781.9113812473415,4087.3574001651473,4364.181797293836,HIGH,29.93166666666667,3781.9113812473415,4364.181797293835,
2025-05-12 06:45:00,3839.17,3770.1400912345944,4076.5059654308147,4352.971462991608,HIGH,30.43916666666667,3770.1400912345944,4352.971462991608,
2025-05-12 07:00:00,3833.9533333333334,3770.278915797551,4077.7180875909744,4354.81734464313,HIGH,30.94666666666667,3770.2789157975512,4354.81734464313,
2025-05-12 07:15:00,3799.8233333333333,3790.325767091839,4101.355618110434,4381.078695020723,HIGH,31.763333333333335,3790.325767091839,4381.078695020723,
2025-05-12 07:30:00,3806.6633333333334,3802.87059619092,4117.216000666492,4398.787109959752,HIGH,32.58,3802.87059619092,4398.787109959752,
2025-05-12 07:45:00,3805.09,3819.6923087302744,4137.376929108655,4421.09442697899,HIGH,33.39666666666667,3819.6923087302744,4421.09442697899,
2025-05-12 08:00:00,3800.523333333333,3851.130776201945,4172.443077625549,4459.548726161834,HIGH,34.21333333333333,3851.130776201945,4459.548726161834,
2025-05-12 08:15:00,3839.2233333333334,3866.6007179297812,4191.118160265682,4480.068293463689,HIGH,34.99583333333334,3866.6007179297812,4480.068293463689,
2025-05-12 08:30:00,3857.7433333333333,3923.3698317259687,4252.054343005284,4546.525667454063,HIGH,35.778333333333336,3923.3698317259687,4546.525667454063,
2025-05-12 08:45:00,3871.8366666666666,3951.37212149488,4283.5332860544,4580.8202315758035,HIGH,36.560833333333335,3951.37212149488,4580.8202315758035,
2025-05-12 09:00:00,3968.02,4047.1846308217687,4384.454146939113,4690.654230585898,HIGH,37.343333333333334,4047.1846308217687,4690.654230585898,
2025-05-12 09:15:00,4124.556666666666,4179.534227658693,4521.379132778438,4839.564168442839,HIGH,37.85916666666667,4179.534227658693,4839.564168442839,
2025-05-12 09:30:00,4263.866666666667,4274.761828263643,4620.348420230545,4947.060634554551,HIGH,38.375,4274.761828263643,4947.060634554551,
