date,peak_time,p10_mw,p50_mw,p90_mw,actual_peak_mw,actual_util,util50,util90,reliability,c_p50,c_p90,c_growth,c_heat,c_rel,growth_pct,temp_corr,stress_score,stress_level
2025-06-05,15:15,5458.8,5774.0,6177.9,5499.1,0.6110055555555556,0.6415525777674292,0.6864347638022561,HIGH,0.0,0.0,0.122142940421844,0.41888888888888864,0.0,0.977143523374752,35.026666666666664,5.4,NORMAL
2025-06-06,00:00,5151.6,5524.5,5901.7,6126.2,0.6806944444444445,0.613834461487885,0.6557411904273631,HIGH,0.0,0.0,0.0,0.0,0.0,-4.320474617373041,28.536666666666665,0.0,NORMAL
2025-06-07,15:30,5794.3,6189.7,6701.8,6549.0,0.7276651851851852,0.6877422815840859,0.7446403984064924,HIGH,0.0,0.14880132802164156,1.0,0.7426388888888885,0.0,12.04035040930323,38.91166666666666,20.4,NORMAL
2025-06-08,23:15,5876.2,6289.5,6791.3,7049.9,0.7833207407407407,0.6988289220469265,0.7545933278527299,HIGH,0.0,0.18197775950909986,0.2015042691083456,0.16374999999999998,0.0,1.6120341528667648,31.965,7.3,NORMAL
2025-06-09,23:15,6582.3,7088.5,7577.9,7327.3,0.8141403703703703,0.7876079765144832,0.8419923653450125,HIGH,0.29202658838161083,0.4733078844833752,1.0,0.13152777777777777,0.0,12.703975417547927,31.578333333333333,36.8,NORMAL
2025-06-10,00:30,6308.9,6810.4,7280.3,7214.4,0.8015992592592592,0.75671283986876,0.8089174265095629,HIGH,0.18904279956253356,0.3630580883652097,0.0,0.03430555555555544,0.0,-3.922654108005344,30.411666666666665,18.0,NORMAL
2025-06-11,15:30,6495.9,7371.4,8230.7,8180.8,0.9089744444444444,0.8190459857965694,0.9145166907779884,LOW,0.3968199526552314,0.7150556359266279,1.0,1.0,1.0,8.237358036454093,42.27166666666667,61.1,WATCH
2025-06-12,23:00,7150.8,7795.2,8417.6,8392.6,0.9325074074074075,0.866128011435416,0.9352838977438757,MEDIUM,0.5537600381180533,0.7842796591462522,0.7185497892565914,0.2488888888888893,0.5,5.748398314052731,32.98666666666667,58.3,WATCH
2025-06-13,23:00,7289.5,7874.9,8423.3,8389.2,0.9321385185185185,0.8749863732473786,0.9359187360241847,HIGH,0.5832879108245954,0.7863957867472825,0.1278442922842583,0.22472222222222213,0.0,1.0227543382740667,32.696666666666665,51.3,WATCH
2025-06-14,15:00,7348.9,7867.9,8504.1,7939.0,0.882107037037037,0.8742092735848926,0.9449039617674196,HIGH,0.5806975786163089,0.8163465392247322,0.0,0.8194444444444446,0.0,-0.08881277311802763,39.833333333333336,56.5,WATCH
2025-06-15,15:00,6899.1,7441.4,8041.1,7778.4,0.8642714814814815,0.8268212856639351,0.8934506074185029,HIGH,0.4227376188797837,0.6448353580616764,0.0,0.7780555555555555,0.0,-5.420668637685858,39.336666666666666,43.9,NORMAL
2025-06-16,00:00,6837.5,7397.4,7911.0,7143.7,0.7937451851851851,0.821938110753975,0.8789963081426869,HIGH,0.4064603691799169,0.5966543604756231,0.0,0.0,0.0,-0.5905961777506596,28.823333333333334,34.3,NORMAL
2025-06-17,00:00,6574.2,7142.6,7646.4,6997.9,0.7775444444444445,0.7936176304380911,0.8495951923695791,HIGH,0.31205876812697037,0.49865064123193054,0.0,0.0,0.0,-3.4455733278878053,28.95,27.1,NORMAL
2025-06-18,00:00,6266.1,6795.3,7285.8,6480.6,0.7200677777777779,0.7550367472273128,0.8095343062526799,HIGH,0.18345582409104294,0.3651143541755996,0.0,0.0,0.0,-4.861394421074154,28.383333333333333,17.4,NORMAL
2025-06-19,23:15,6018.7,6514.2,6978.5,6899.1,0.7665670370370371,0.7237946718288385,0.7753866597738412,HIGH,0.07931557276279513,0.25128886591280425,0.0,0.0,0.0,-4.137821836248799,28.905,9.4,NORMAL
2025-06-20,23:15,6361.9,6884.8,7380.2,6704.9,0.7449896296296297,0.7649799101886818,0.8200266231676423,HIGH,0.21659970062893957,0.4000887438921411,0.7112728229916914,0.0,0.0,5.690182583933531,29.190833333333334,27.0,NORMAL
2025-06-21,23:15,6330.0,6807.4,7375.5,6943.5,0.7714974074074074,0.7563808770489501,0.8194960097429503,HIGH,0.1879362568298337,0.3983200324765012,0.0,0.07965277777777786,0.0,-1.1240861394138968,30.955833333333334,19.1,NORMAL
2025-06-22,23:15,6321.6,6797.5,7357.1,6823.2,0.7581303703703703,0.7552771471277068,0.81745800924269,HIGH,0.18425715709235602,0.3915266974756333,0.0,0.0,0.0,-0.14592250475044768,29.650833333333335,18.0,NORMAL
2025-06-23,23:15,6592.3,7121.7,7635.1,7475.2,0.83058,0.7912944870827255,0.848340772203023,HIGH,0.30431495694241856,0.49446924067674325,0.5960947595857934,0.020486111111111132,0.0,4.768758076686348,30.245833333333334,32.8,NORMAL
2025-06-24,15:00,6884.8,7413.1,7954.7,7073.4,0.7859311111111111,0.8236774868457494,0.8838593835438111,HIGH,0.4122582894858313,0.6128646118127038,0.5115510137447464,0.5861111111111109,0.0,4.092408109957971,37.03333333333333,45.9,NORMAL
2025-06-25,15:00,6556.9,7077.8,7588.8,7049.4,0.7832629629629628,0.7864181735576972,0.8431994701473663,HIGH,0.2880605785256573,0.4773315671578877,0.0,0.41555555555555596,0.0,-4.5235318292764966,34.98666666666667,29.5,NORMAL
2025-06-26,23:15,6510.4,7055.2,7566.5,7421.0,0.8245555555555556,0.7839144112370369,0.8407174224728688,HIGH,0.27971470412345634,0.4690580749095629,0.0,0.005833333333333357,0.0,-0.3183754400452606,30.07,24.8,NORMAL
2025-06-27,15:00,6807.4,7328.6,7865.6,7584.4,0.8427081481481481,0.8142868683021424,0.8739549433928169,HIGH,0.380956227673808,0.5798498113093896,0.48430760791182786,0.5205555555555558,0.0,3.874460863294623,36.24666666666667,42.6,NORMAL
2025-06-28,15:00,6857.3,7330.4,7943.1,7434.6,0.8260633333333333,0.8144867428124752,0.8825637786674799,HIGH,0.3816224760415842,0.6085459288915999,0.003068244713770266,0.3980555555555559,0.0,0.024545957710162127,34.77666666666667,37.2,NORMAL
2025-06-29,00:00,6527.6,7058.6,7642.7,6437.0,0.7152266666666667,0.7842878736696165,0.849186958117712,HIGH,0.28095957889872175,0.4972898603923736,0.0,0.0,0.0,-3.707717701896543,28.066666666666666,25.4,NORMAL
2025-06-30,00:00,6135.1,6631.7,7096.4,5849.5,0.6499462962962963,0.7368599685575903,0.7884864564357694,HIGH,0.12286656185863441,0.29495485478589817,0.0,0.0,0.0,-6.04725722585957,27.5,12.7,NORMAL
